03-23 21:17:47  Still in matching 
03-23 21:17:49  Looking for image: matching.png 
03-23 21:17:50  Still in matching 
03-23 21:17:52  Looking for image: matching.png 
03-23 21:17:58  Not found matching.png, maybe match done 
03-23 21:18:00  Looking for image: matching.png 
03-23 21:18:06  Not found matching.png, maybe match done 
03-23 21:18:06  matching done 
03-23 21:18:21  Select card. 
03-23 21:18:27  Wait for succeed 
03-23 21:18:45  Looking for image: bk1.png 
03-23 21:19:09  Looking for image: bk1.png 
03-23 21:19:33  Looking for image: bk1.png 
03-23 21:19:39  I Give up 
03-23 21:20:03  Looking for image: bk1.png 
03-23 21:20:03  Total have win: 3/6 
03-23 21:20:03  Start Match 
03-23 21:20:06  start round match 
03-23 21:20:08  Looking for image: matching.png 
03-23 21:20:09  Still in matching 
03-23 21:20:11  Looking for image: matching.png 
03-23 21:20:11  Still in matching 
03-23 21:20:14  Looking for image: matching.png 
03-23 21:20:14  Still in matching 
03-23 21:20:16  Looking for image: matching.png 
03-23 21:20:18  Still in matching 
03-23 21:20:20  Looking for image: matching.png 
03-23 21:20:26  Not found matching.png, maybe match done 
03-23 21:20:28  Looking for image: matching.png 
03-23 21:20:34  Not found matching.png, maybe match done 
03-23 21:20:34  matching done 
03-23 21:20:49  Select card. 
03-23 21:20:55  Wait for succeed 
03-23 21:21:13  Looking for image: bk1.png 
03-23 21:21:36  Looking for image: bk1.png 
03-23 21:22:00  Looking for image: bk1.png 
03-23 21:22:05  I Give up 
03-23 21:22:29  Looking for image: bk1.png 
03-23 21:22:29  Total have win: 3/7 
03-23 21:22:29  Start Match 
03-23 21:22:31  start round match 
03-23 21:22:34  Looking for image: matching.png 
03-23 21:22:34  Still in matching 
03-23 21:22:36  Looking for image: matching.png 
03-23 21:22:37  Still in matching 
03-23 21:22:39  Looking for image: matching.png 
03-23 21:22:40  Still in matching 
03-23 21:22:42  Looking for image: matching.png 
03-23 21:22:43  Still in matching 
03-23 21:22:45  Looking for image: matching.png 
03-23 21:22:50  Not found matching.png, maybe match done 
03-23 21:22:53  Looking for image: matching.png 
03-23 21:22:59  Not found matching.png, maybe match done 
03-23 21:22:59  matching done 
03-23 21:23:14  Select card. 
03-23 21:23:19  Wait for succeed 
03-23 21:23:37  Looking for image: bk1.png 
03-23 21:23:37  I win this round 
03-23 21:23:37  Total have win: 4/8 
03-23 21:23:37  Start Match 
03-23 21:23:40  start round match 
03-23 21:23:42  Looking for image: matching.png 
03-23 21:23:42  Still in matching 
03-23 21:23:45  Looking for image: matching.png 
03-23 21:23:45  Still in matching 
03-23 21:23:48  Looking for image: matching.png 
03-23 21:23:53  Not found matching.png, maybe match done 
03-23 21:23:56  Looking for image: matching.png 
03-23 21:24:01  Not found matching.png, maybe match done 
03-23 21:24:01  matching done 
03-23 21:24:16  Select card. 
03-23 21:24:21  Wait for succeed 
03-23 21:25:02  Random Minute is :36 
03-23 21:25:02  Min hour: 3, Max hour: 8 
03-23 21:25:02  New day is coming 23 
03-23 21:25:02  Not game time, sleep... 
03-23 21:25:20  Random Minute is :6 
03-23 21:25:20  Min hour: 3, Max hour: 8 
03-23 21:25:20  New day is coming 23 
03-23 21:25:20  Not game time, sleep... 
03-23 21:26:20  Not game time, sleep... 
03-23 21:27:20  Not game time, sleep... 
03-23 21:28:20  Not game time, sleep... 
03-23 21:29:20  Not game time, sleep... 
03-23 21:30:20  Not game time, sleep... 
03-23 21:31:20  Not game time, sleep... 
03-23 21:32:20  Not game time, sleep... 
03-23 21:33:20  Not game time, sleep... 
03-23 21:34:20  Not game time, sleep... 
03-23 21:35:20  Not game time, sleep... 
03-23 21:36:20  Not game time, sleep... 
03-23 21:37:20  Not game time, sleep... 
03-23 21:38:20  Not game time, sleep... 
03-23 21:39:20  Not game time, sleep... 
03-23 21:40:20  Not game time, sleep... 
03-23 21:41:20  Not game time, sleep... 
03-23 21:42:20  Not game time, sleep... 
03-23 21:43:20  Not game time, sleep... 
03-23 21:44:20  Not game time, sleep... 
03-23 21:45:20  Not game time, sleep... 
03-23 21:46:20  Not game time, sleep... 
03-23 21:47:20  Not game time, sleep... 
03-23 21:48:20  Not game time, sleep... 
03-23 21:49:20  Not game time, sleep... 
03-23 21:50:20  Not game time, sleep... 
03-23 21:51:20  Not game time, sleep... 
03-23 21:52:20  Not game time, sleep... 
03-23 21:53:20  Not game time, sleep... 
03-23 21:54:20  Not game time, sleep... 
03-23 21:55:20  Not game time, sleep... 
03-23 21:56:20  Not game time, sleep... 
03-23 21:57:20  Not game time, sleep... 
03-23 21:58:20  Not game time, sleep... 
03-23 21:59:20  Not game time, sleep... 
03-23 22:00:20  Not game time, sleep... 
03-23 22:01:20  Not game time, sleep... 
03-23 22:02:20  Not game time, sleep... 
03-23 22:03:20  Not game time, sleep... 
03-23 22:04:20  Not game time, sleep... 
03-23 22:05:20  Not game time, sleep... 
03-23 22:06:20  Not game time, sleep... 
03-23 22:07:20  Not game time, sleep... 
03-23 22:08:20  Not game time, sleep... 
03-23 22:09:20  Not game time, sleep... 
03-23 22:10:20  Not game time, sleep... 
03-23 22:11:20  Not game time, sleep... 
03-23 22:12:20  Not game time, sleep... 
03-23 22:13:20  Not game time, sleep... 
03-23 22:14:20  Not game time, sleep... 
03-23 22:15:20  Not game time, sleep... 
03-23 22:16:20  Not game time, sleep... 
03-23 22:17:20  Not game time, sleep... 
03-23 22:18:20  Not game time, sleep... 
03-23 22:19:20  Not game time, sleep... 
03-23 22:20:20  Not game time, sleep... 
03-23 22:21:20  Not game time, sleep... 
03-23 22:22:20  Not game time, sleep... 
03-23 22:23:20  Not game time, sleep... 
03-23 22:24:20  Not game time, sleep... 
03-23 22:25:20  Not game time, sleep... 
03-23 22:26:20  Not game time, sleep... 
03-23 22:27:20  Not game time, sleep... 
03-23 22:28:20  Not game time, sleep... 
03-23 22:29:20  Not game time, sleep... 
03-23 22:30:20  Not game time, sleep... 
03-23 22:31:20  Not game time, sleep... 
03-23 22:32:20  Not game time, sleep... 
03-23 22:33:20  Not game time, sleep... 
03-23 22:34:20  Not game time, sleep... 
03-23 22:35:20  Not game time, sleep... 
03-23 22:36:20  Not game time, sleep... 
03-23 22:37:20  Not game time, sleep... 
03-23 22:38:20  Not game time, sleep... 
03-23 22:39:20  Not game time, sleep... 
03-23 22:40:20  Not game time, sleep... 
03-23 22:41:20  Not game time, sleep... 
03-23 22:42:20  Not game time, sleep... 
03-23 22:43:20  Not game time, sleep... 
03-23 22:44:20  Not game time, sleep... 
03-23 22:45:20  Not game time, sleep... 
03-23 22:46:20  Not game time, sleep... 
03-23 22:47:20  Not game time, sleep... 
03-23 22:48:20  Not game time, sleep... 
03-23 22:49:20  Not game time, sleep... 
03-23 22:50:20  Not game time, sleep... 
03-23 22:51:20  Not game time, sleep... 
03-23 22:52:20  Not game time, sleep... 
03-23 22:53:20  Not game time, sleep... 
03-23 22:54:20  Not game time, sleep... 
03-23 22:55:20  Not game time, sleep... 
03-23 22:56:20  Not game time, sleep... 
03-23 22:57:20  Not game time, sleep... 
03-23 22:58:20  Not game time, sleep... 
03-23 22:59:20  Not game time, sleep... 
03-23 23:00:20  Not game time, sleep... 
03-23 23:01:20  Not game time, sleep... 
03-23 23:02:20  Not game time, sleep... 
03-23 23:03:20  Not game time, sleep... 
03-23 23:04:20  Not game time, sleep... 
03-23 23:05:20  Not game time, sleep... 
03-23 23:06:20  Not game time, sleep... 
03-23 23:07:20  Not game time, sleep... 
